| Feature Category                               | Our Project                                                     | RP1                                                         |
| **Offline / Local Evaluation Tool**            | ✅ Local QA evaluation module                                     | ❌ Not included                                       |
| **Performance Monitoring**                     | ✅ Function execution timing, profiling                           | ❌ Not included                                       |
| **Chunking Strategy**                          | ✅ RecursiveCharacterTextSplitter for semantic chunks             | ⚠️ Fixed chunk length                                |
| **Metadata in Vector Store**                   | ✅ Stores file hash & chunk IDs                                   | ❌ Not included                                       |
| **Question-Answering Chain**                   | ✅ LangChain QA Chain with custom prompt template                 | ⚠️ Basic chain without custom prompts                |
| **Multi-document Handling**                    | ✅ Processes multiple PDFs at once                                | ❌ Single document mode                               |
| **Custom Prompt Templates**                    | ✅ Structured prompts for LLM                                     | ❌ Not mentioned                                      |
| **User Interface**                             | ✅ Full interactive Streamlit app                                 | ⚠️ Minimal web UI                                    |
| **Image-based Context Retrieval**              | ✅ Captioned images can feed into QA                              | ❌ Not included                                       |






------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------






| Feature Category                               | Our Project                                                     | RP5                                           |
| ---------------------------------------------- | ---------------------------------------------------------------- | --------------------------------------------- |
| **RAG Pipeline (Index → Retrieve → Generate)** | ✅ Fully implemented with FAISS retrieval + Gemini LLM generation | ✅ RAG pipeline with FAISS retrieval + LLM     |
| **PDF Support + Text Extraction**              | ✅ Multi-PDF upload, pdfplumber for text extraction               | ✅ PDF ingestion supported                     |
| **FAISS-based Vector Store**                   | ✅ Implemented with metadata tagging                              | ✅ FAISS                                       |
| **LLM for Answer Generation**                  | ✅ Google Gemini 1.5 Flash                                        | ⚠️ GPT-3 model                                |
| **Reranker System**                            | ✅ Cross-encoder reranking with MS MARCO models                   | ❌ Not included                                |
| **Table Extraction**                           | ✅ Extracts tables with pdfplumber                                | ⚠️ Extracts tables but no advanced formatting |
| **Table Summarization with LLM**               | ✅ BLIP + LLM summarization                                       | ❌ Not included                                |
| **Image Extraction from PDFs**                 | ✅ Extracts figures/images from PDFs                              | ❌ Not included                                |
| **Image Captioning**                           | ✅ BLIP image captioning                                          | ❌ Not included                                |
| **MCQ Generation from Context**                | ✅ LLM-based MCQ generation                                       | ❌ Not included                                |
| **Memory Profiling Dashboard**                 | ✅ Live memory monitoring, leak detection, profiling              | ❌ Not included                                |
| **Evaluation Metrics**                         | ✅ ROUGE & BERTScore                                              | ⚠️ ROUGE only                                 |
| **Offline / Local Evaluation Tool**            | ✅ Local QA evaluation module                                     | ❌ Not included                                |
| **Performance Monitoring**                     | ✅ Function execution timing, profiling                           | ❌ Not included                                |
| **Chunking Strategy**                          | ✅ RecursiveCharacterTextSplitter for semantic chunks             | ⚠️ Fixed-size chunks                          |
| **Metadata in Vector Store**                   | ✅ Stores file hash & chunk IDs                                   | ❌ Not included                                |
| **Question-Answering Chain**                   | ✅ LangChain QA Chain with custom prompt template                 | ⚠️ Generic QA chain                           |
| **Multi-document Handling**                    | ✅ Processes multiple PDFs at once                                | ❌ Single PDF at a time                        |
| **Custom Prompt Templates**                    | ✅ Structured prompts for LLM                                     | ❌ Not mentioned                               |
| **User Interface**                             | ✅ Full interactive Streamlit app                                 | ⚠️ Minimal interface                          |
| **Image-based Context Retrieval**              | ✅ Captioned images can feed into QA                              | ❌ Not included                                |







------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------








| Feature Category                               | Our Project                                                     | RP6                                       |
| ---------------------------------------------- | ---------------------------------------------------------------- | ----------------------------------------- |
| **RAG Pipeline (Index → Retrieve → Generate)** | ✅ Fully implemented with FAISS retrieval + Gemini LLM generation | ✅ RAG pipeline with FAISS retrieval + LLM |
| **PDF Support + Text Extraction**              | ✅ Multi-PDF upload, pdfplumber for text extraction               | ✅ PDF ingestion supported                 |
| **FAISS-based Vector Store**                   | ✅ Implemented with metadata tagging                              | ✅ FAISS                                   |
| **LLM for Answer Generation**                  | ✅ Google Gemini 1.5 Flash                                        | ⚠️ OpenAI GPT-4                           |
| **Reranker System**                            | ✅ Cross-encoder reranking with MS MARCO models                   | ❌ Not included                            |
| **Table Extraction**                           | ✅ Extracts tables with pdfplumber                                | ✅ Table extraction supported              |
| **Table Summarization with LLM**               | ✅ BLIP + LLM summarization                                       | ❌ Not included                            |
| **Image Extraction from PDFs**                 | ✅ Extracts figures/images from PDFs                              | ❌ Not included                            |
| **Image Captioning**                           | ✅ BLIP image captioning                                          | ❌ Not included                            |
| **MCQ Generation from Context**                | ✅ LLM-based MCQ generation                                       | ❌ Not included                            |
| **Memory Profiling Dashboard**                 | ✅ Live memory monitoring, leak detection, profiling              | ❌ Not included                            |
| **Evaluation Metrics**                         | ✅ ROUGE & BERTScore                                              | ⚠️ ROUGE only                             |
| **Offline / Local Evaluation Tool**            | ✅ Local QA evaluation module                                     | ❌ Not included                            |
| **Performance Monitoring**                     | ✅ Function execution timing, profiling                           | ❌ Not included                            |
| **Chunking Strategy**                          | ✅ RecursiveCharacterTextSplitter for semantic chunks             | ⚠️ Simple fixed chunks                    |
| **Metadata in Vector Store**                   | ✅ Stores file hash & chunk IDs                                   | ❌ Not included                            |
| **Question-Answering Chain**                   | ✅ LangChain QA Chain with custom prompt template                 | ⚠️ Basic chain without customization      |
| **Multi-document Handling**                    | ✅ Processes multiple PDFs at once                                | ❌ Single document mode                    |
| **Custom Prompt Templates**                    | ✅ Structured prompts for LLM                                     | ❌ Not mentioned                           |
| **User Interface**                             | ✅ Full interactive Streamlit app                                 | ⚠️ Simple web UI                          |
| **Image-based Context Retrieval**              | ✅ Captioned images can feed into QA                              | ❌ Not included                            |











